customer_id,age,purchase_history,price,discount,stock_level,churn
1,63,9,203.292407866464,0.07761328422469034,3,0
2,53,8,342.1647030030349,0.10415765026866358,26,0
3,39,1,273.26524452606657,0.23825470359515505,24,0
4,32,6,409.72107317783804,0.18756483750943145,30,0
5,45,9,441.0339819753371,0.2812919339873706,10,0
6,63,7,316.65856728670394,0.2039114335730502,47,0
7,43,4,403.30691682242366,0.17105448952640817,19,0
8,47,1,222.761805277828,0.18305880269575034,35,0
9,35,2,265.98848616003124,0.2827114318405244,16,0
10,35,5,385.1110704867324,0.23646027896001182,44,0
11,48,5,254.48479712681228,0.007212371209931345,10,0
12,60,8,335.4019740635955,0.16024190884070916,29,0
13,64,6,174.1491116330046,0.20650152346396944,34,0
14,48,8,339.9085259881992,0.2246095435317465,40,0
15,27,2,444.60548289075746,0.063942635794181,37,1
16,46,3,447.4558559293703,0.2601532063354057,21,0
17,26,6,389.73776253181586,0.2867529441525491,42,1
18,48,3,398.3013516304504,0.07101459175346093,47,0
19,54,6,323.1709780602803,0.2647846372551737,26,0
20,62,6,333.8672360663299,0.029093628754828613,36,0
21,26,2,153.46023256420722,0.016712050834573555,45,0
22,45,7,277.54367536852044,0.038767140030824807,48,0
23,57,2,280.31051355454554,0.017322323840110797,34,0
24,36,6,483.3991342670961,0.2535036711467328,3,0
25,46,1,272.4347450493158,0.017715043337481584,15,0
26,49,3,319.73705796110306,0.08149925740909665,15,0
27,51,2,313.300559711641,0.031126903060756914,20,1
28,52,7,354.7046868177309,0.08862661089412949,25,1
29,40,4,399.29313253275836,0.027167840280276145,35,0
30,39,8,190.01675046834885,0.2004009752229042,18,0
31,27,6,311.4897676393743,0.03999804490277254,16,0
32,61,4,430.3670829264122,0.2555537777516663,44,0
33,31,5,285.2458855350046,0.24515731521799228,25,0
34,45,9,211.3830185494292,0.004098505641182825,21,0
35,33,7,361.8836301425196,0.2687179066545344,27,0
36,63,9,429.5069583196492,0.008683295023010117,0,0
37,42,7,125.25611717095653,0.07189373548726698,43,0
38,28,1,410.71619336289086,0.009716741332798517,35,1
39,49,8,428.6591731847085,0.1007530461117948,42,1
40,38,4,284.6091710354427,0.15415995771398147,36,0
41,33,3,493.32226272738694,0.23899346070454142,1,0
42,50,7,414.6833362829236,0.10139446514095084,16,0
43,26,3,409.4650259582663,0.211647007401935,39,0
44,44,8,399.1354297648287,0.0562513371356941,37,0
45,52,6,160.24324128730962,0.2251795370232379,20,0
46,31,5,186.89235458120433,0.07079898177277126,8,0
47,32,4,285.59605258577,0.043063426783130375,12,0
48,59,8,205.60173998378633,0.05562265511221629,10,0
49,38,8,266.09638893361614,0.05461893866455662,15,0
50,41,1,455.38564396916826,0.15385886381309735,15,0
51,60,9,429.7307567517077,0.2534392743564438,1,0
52,64,5,352.01595139199287,0.023881523097751687,41,0
53,28,4,443.2481577004414,0.2120868955480268,43,0
54,26,6,413.5089556068997,0.1963039378958573,7,1
55,30,6,271.5939727363562,0.2617559855488087,42,0
56,28,2,180.42606081997803,0.07324426815207216,41,0
57,53,8,305.6804160037357,0.13503295760550887,12,0
58,42,7,394.49155301142,0.2777482123330552,16,1
59,50,1,274.5678394918372,0.19799803504059516,38,1
60,58,5,366.70876391355887,0.11663052385847907,23,0
61,34,6,137.73097051641744,0.039423714856580534,2,0
62,60,4,399.20189454856137,0.07874550237017731,29,0
63,38,2,425.0854479572248,0.17436464324681497,12,0
64,55,4,382.73514231221645,0.2154503842681541,18,0
65,39,1,486.9054350105462,0.03732656605556804,6,1
66,32,7,430.6608229842562,0.1798791780132162,8,0
67,38,2,461.2374911506153,0.1651053836516253,18,0
68,47,2,473.4284333830592,0.15418663400721241,44,1
69,64,9,420.5391967495234,0.20703693530460238,39,0
70,45,5,369.7035368025996,0.25123487852503856,21,0
71,40,2,102.28743254431572,0.09689690495306051,17,0
72,42,9,286.33030128924986,0.2667036570332878,22,1
73,48,9,328.46491944894444,0.048190083785565205,1,1
74,50,1,221.61210897919983,0.051907160925349305,49,0
75,49,3,227.24177876138884,0.08003161908717717,49,0
76,53,4,484.4637662840661,0.03585926086412334,10,1
77,39,7,456.68434608109834,0.06909576740486327,30,0
78,25,4,439.67160220068166,0.031923528870853375,32,0
79,49,2,262.40472068244424,0.2465257250956171,13,0
80,31,7,105.47942016356582,0.041690697565987374,15,0
81,33,6,132.08889858228562,0.22418926726795704,10,0
82,48,3,224.87854728704147,0.014374160374000121,32,1
83,25,6,106.29716519827079,0.28455609825417455,6,0
